team,posterior_finals_win_prob
Oklahoma City Thunder,0.3446666666666667
Detroit Pistons,0.143
San Antonio Spurs,0.10433333333333333
Los Angeles Lakers,0.10166666666666667
Boston Celtics,0.10133333333333333
Denver Nuggets,0.08733333333333333
Cleveland Cavaliers,0.051
New York Knicks,0.021666666666666667
Atlanta Hawks,0.01633333333333333
Toronto Raptors,0.008666666666666666
Houston Rockets,0.006333333333333333
Minnesota Timberwolves,0.005333333333333333
Orlando Magic,0.004666666666666667
Portland Trail Blazers,0.0016666666666666668
Philadelphia 76ers,0.001
Phoenix Suns,0.001
